Dates;Open;Close;High;Low;Value;Volume;Number Ticks;;;
18/11/2019 10:02;13.73;13.76;13.76;13.73;888804;64700;96;;;
18/11/2019 10:03;13.76;13.76;13.77;13.75;355061;25800;55;;;
18/11/2019 10:04;13.76;13.76;13.76;13.74;277851;20200;51;;;
18/11/2019 10:05;13.77;13.78;13.78;13.76;331900;24100;39;;;
18/11/2019 10:06;13.78;13.75;13.78;13.75;344219;25000;47;;;
18/11/2019 10:07;13.76;13.76;13.76;13.76;100448;7300;16;;;
18/11/2019 10:08;13.76;13.78;13.78;13.76;139077;10100;18;;;
18/11/2019 10:09;13.77;13.73;13.77;13.72;2224112;161800;140;;;
18/11/2019 10:10;13.73;13.72;13.73;13.71;638083;46500;72;;;
18/11/2019 10:11;13.73;13.74;13.74;13.73;114016;8300;21;;;
18/11/2019 10:12;13.73;13.74;13.75;13.73;164883;12000;19;;;
18/11/2019 10:13;13.73;13.72;13.74;13.72;82381;6000;17;;;
18/11/2019 10:14;13.73;13.73;13.73;13.71;433594;31600;46;;;
18/11/2019 10:15;13.72;13.73;13.73;13.72;64503;4700;16;;;
18/11/2019 10:16;13.73;13.74;13.74;13.73;142832;10400;21;;;
18/11/2019 10:17;13.74;13.75;13.75;13.73;217101;15800;28;;;
18/11/2019 10:18;13.75;13.75;13.75;13.73;258320;18800;44;;;
18/11/2019 10:19;13.75;13.75;13.75;13.74;57740;4200;18;;;
18/11/2019 10:20;13.74;13.73;13.74;13.72;457333;33300;64;;;
18/11/2019 10:21;13.73;13.73;13.73;13.72;109836;8000;20;;;
18/11/2019 10:22;13.73;13.72;13.73;13.72;54903;4000;25;;;
18/11/2019 10:23;13.72;13.73;13.73;13.72;41179;3000;19;;;
18/11/2019 10:24;13.73;13.74;13.74;13.73;156540;11400;23;;;
18/11/2019 10:25;13.74;13.73;13.74;13.72;286959;20900;32;;;
18/11/2019 10:26;13.72;13.71;13.73;13.71;343004;25000;41;;;
18/11/2019 10:27;13.72;13.71;13.72;13.7;392115;28600;54;;;
18/11/2019 10:28;13.71;13.71;13.71;13.7;187716;13700;38;;;
18/11/2019 10:29;13.71;13.71;13.71;13.7;190487;13900;36;;;
18/11/2019 10:30;13.71;13.72;13.73;13.7;370384;27000;44;;;
18/11/2019 10:31;13.72;13.72;13.72;13.71;83678;6100;20;;;
18/11/2019 10:32;13.71;13.71;13.72;13.71;96025;7000;28;;;
18/11/2019 10:33;13.72;13.72;13.72;13.71;149471;10900;31;;;
18/11/2019 10:34;13.72;13.71;13.72;13.71;176973;12900;38;;;
18/11/2019 10:35;13.71;13.71;13.72;13.71;57599;4200;24;;;
18/11/2019 10:36;13.71;13.71;13.72;13.71;78186;5700;24;;;
18/11/2019 10:37;13.72;13.71;13.72;13.71;64464;4700;24;;;
18/11/2019 10:38;13.71;13.72;13.72;13.71;281118;20500;65;;;
18/11/2019 10:39;13.71;13.72;13.72;13.7;134351;9800;25;;;
18/11/2019 10:40;13.71;13.71;13.72;13.7;141221;10300;34;;;
18/11/2019 10:41;13.71;13.71;13.72;13.71;213925;15600;30;;;
18/11/2019 10:42;13.71;13.72;13.72;13.71;97398;7100;35;;;
18/11/2019 10:43;13.71;13.75;13.75;13.71;546595;39800;56;;;
18/11/2019 10:44;13.74;13.74;13.75;13.73;212972;15500;41;;;
18/11/2019 10:45;13.74;13.74;13.74;13.73;45325;3300;16;;;
18/11/2019 10:46;13.74;13.76;13.77;13.74;1133830;82400;99;;;
18/11/2019 10:47;13.77;13.78;13.78;13.76;312585;22700;43;;;
18/11/2019 10:48;13.78;13.79;13.79;13.77;740130;53700;94;;;
18/11/2019 10:49;13.79;13.82;13.82;13.78;1170831;84800;111;;;
18/11/2019 10:50;13.81;13.81;13.81;13.8;502653;36400;39;;;
18/11/2019 10:51;13.81;13.8;13.81;13.79;169739;12300;34;;;
18/11/2019 10:52;13.8;13.81;13.81;13.8;263687;19100;30;;;
18/11/2019 10:53;13.81;13.8;13.81;13.8;56610;4100;20;;;
18/11/2019 10:54;13.8;13.79;13.81;13.79;342120;24800;56;;;
